Department,Day,Starting.Time,Ending.Time,Course.Title,Course.Code,Subject.Code,Course,Academic.Year,Location,Lecture.Type,Lecturer.in.charge,Lecture.Time,Degree.Type,Stream
Food Science and Tech,Tuesday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Dairy Technology,FSC 372 1.0,FSC,FSC 372 1.0 Dairy Technology,3,NFC5,Lecture,Prof. R.A.U.J. Marapana,11:10-12:00,General,Biology
Food Science and Tech,Tuesday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Fat and Oil Technology,FST 387 1.0,FST,FST 387 1.0 Fat and Oil Technology,3,NFC2,Lecture,Dr. Piumi Abeysundara,13:00-14:00,Special,Food Science
Food Science and Tech,Tuesday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,Seminar,FSC 395 1.0,FSC,FSC 395 1.0 Seminar,3,NFC2,Lecture,Dr. Isuru Wijesekara,14:00-15:00,General,Biology
Food Science and Tech,Wednesday,1970-01-01T08:55:00Z,1970-01-01T16:00:00Z,Practicals,FST P,FST,FST P Practicals,3,P,Practicals,NA,08:55-16:00,Special,Food Science
Food Science and Tech,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Emerging Food Technology,FST 368 2.0,FST,FST 368 2.0 Emerging Food Technology,3,NFC2,Lecture,Senior Prof. K.K.D.S. Ranaweera,08:00-09:45,Special,Food Science
Food Science and Tech,Thursday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Fruit & Vegetable Process & Technology,FST 384 1.0,FST,FST 384 1.0 Fruit & Vegetable Process & Technology,3,NFC5,Lecture,Prof. R.A.U.J. Marapana,10:15-11:05,Special,Food Science
Food Science and Tech,Thursday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Fruit & Vegetable Process & Technology,FSC 373 1.0,FSC,FSC 373 1.0 Fruit & Vegetable Process & Technology,3,NFC5,Lecture,Prof. R.A.U.J. Marapana,10:15-11:05,General,Biology
Food Science and Tech,Thursday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Social Mobilization,FST 380 2.0,FST,FST 380 2.0 Social Mobilization,3,NFC2,Lecture,Prof. Jagath Jayasinghe,11:10-12:00,Special,Food Science
Food Science and Tech,Thursday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Food Biotechnology,FSC 362 1.0,FSC,FSC 362 1.0 Food Biotechnology,3,NFC5,Lecture,Senior Prof. K.K.D.S. Ranaweera,13:00-14:00,General,Food Science
Food Science and Tech,Thursday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,Food Packaging,FSC 353 1.0,FSC,FSC 353 1.0 Food Packaging,3,NFC5,Lecture,Dr. Chathuni Jayathilaka,15:00-16:00,General,Biology
Food Science and Tech,Friday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Sensory Analysis,FST 362 1.0,FST,FST 362 1.0 Sensory Analysis,3,NFC5,Lecture,Dr. Chathuni Jayathilaka,11:10-12:00,Special,Food Science
Food Science and Tech,Friday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,Mechanical Aspects of Food Technology,FST 391 1.0,FST,FST 391 1.0 Mechanical Aspects of Food Technology,3,NFC5,Lecture,VL,15:00-16:00,Special,Food Science
Food Science and Tech,Friday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Introduction to Multivariate Statistics,FST 452 1.0,FST,FST 452 1.0 Introduction to Multivariate Statistics,4,NFC2,Lecture,Ms. Asha Mallikarachchi,08:00-08:50,Special,Food Science
Food Science and Tech,Friday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,Nano Technology in Food System,FST 482 1.0,FST,FST 482 1.0 Nano Technology in Food System,4,NFC2,Lecture,VL,08:55-09:45,Special,Food Science
Food Science and Tech,Friday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Career Skills Development,FST 457 1.0,FST,FST 457 1.0 Career Skills Development,4,NFC2,Lecture,VL,10:15-12:00,Special,Food Science
Food Science and Tech,Friday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Industrial Microbiology,FST 481 1.0,FST,FST 481 1.0 Industrial Microbiology,4,NFC2,Lecture,Dr. Piumi Abeysundara,13:00-14:00,Special,Food Science
Food Science and Tech,Friday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,Strategic Management,FST 458 1.0,FST,FST 458 1.0 Strategic Management,4,NFC2,Lecture,Prof. Jagath Jayasinghe,14:00-15:00,Special,Food Science
Computer Science,Monday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Software Engineering II,CSC 112 2.0,CSC,CSC 112 2.0 Software Engineering II,1,NFC3,Lecture,Dr. EATA Edirisuriya,08:00-09:45,General,Physical
Computer Science,Tuesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Computer Programming - Laboratory,CSC 111 1.0,CSC,CSC 111 1.0 Computer Programming - Laboratory,1,NFC3,Lecture,Mr. AMRR Bandara / Ms. FS Sourjah,08:00-09:45,General,Physical
